Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
554;21100901783;"Connections";journal;"18121098, 18122973";0,151;Q3;3;8;63;0;30;58;0,59;0,00;Germany;Western Europe;"Partnership for Peace Consortium of Defense Academies and Security Studies Institutes";"2018-2021";"Law (Q3); Political Science and International Relations (Q3); Computer Networks and Communications (Q4); Safety Research (Q4); Safety, Risk, Reliability and Quality (Q4)";"Computer Science; Engineering; Social Sciences"
555;19700172902;"International Journal of the Legal Profession";journal;"09695958, 14699257";0,151;Q3;22;22;60;950;14;52;0,23;43,18;United Kingdom;Western Europe;"Routledge";"1994-2022";"Law (Q3); Strategy and Management (Q4)";"Business, Management and Accounting; Social Sciences"
556;21100407408;"Journal of Law, Religion and State";journal;"22126465, 22124810";0,151;Q3;6;0;43;0;22;41;0,63;0,00;Netherlands;Western Europe;"Brill Academic Publishers";"2012-2021";"Religious Studies (Q2); Law (Q3); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
557;7100153147;"Arab Law Quarterly";journal;"15730255, 02680556";0,150;Q3;16;27;100;758;23;97;0,15;28,07;Netherlands;Western Europe;"Brill Academic Publishers";"1980, 1985, 1987-2004, 2006-2022";"Law (Q3)";"Social Sciences"
558;21100245722;"European Food and Feed Law Review";journal;"21908214, 18622720";0,150;Q3;9;57;174;243;41;97;0,18;4,26;Germany;Western Europe;"Lexxion";"2013-2022";"Law (Q3); Food Science (Q4)";"Agricultural and Biological Sciences; Social Sciences"
559;21101053586;"European Review of Private Law";journal;"18758371, 09289801";0,150;Q3;2;35;42;3839;8;37;0,19;109,69;Netherlands;Western Europe;"Kluwer Law International";"2021-2022";"Law (Q3)";"Social Sciences"
560;21100927902;"Oslo Law Review";journal;"23873299";0,150;Q3;3;6;34;706;14;32;0,56;117,67;Norway;Western Europe;"Universitetsforlaget AS";"2019-2022";"Law (Q3)";"Social Sciences"
561;21101070991;"Pravni Zapisi";journal;"24061387, 22172815";0,150;Q3;1;32;26;1141;8;20;0,31;35,66;Serbia;Eastern Europe;"Faculty of Law, Union University in Belgrade";"2021-2022";"Law (Q3); Sociology and Political Science (Q3)";"Social Sciences"
562;14098;"Studia Islamica";journal;"05855292, 19585705";0,150;Q3;11;14;26;1038;11;26;0,50;74,14;France;Western Europe;"Brill Academic Publishers";"1970-1971, 1981, 1989, 2001-2007, 2013-2022";"Literature and Literary Theory (Q1); History (Q2); Religious Studies (Q2); Law (Q3); Linguistics and Language (Q3)";"Arts and Humanities; Social Sciences"
563;21101089371;"Law, Technology and Humans";journal;"26524074";0,149;Q3;4;18;56;1714;33;54;0,49;95,22;Australia;Pacific Region;"Queensland University of Technology";"2019-2022";"Law (Q3); Computer Science (miscellaneous) (Q4); Social Sciences (miscellaneous) (Q4)";"Computer Science; Social Sciences"
564;21100812388;"Revista Criminalidad";journal;"17943108, 22565531";0,149;Q3;5;24;95;1345;25;90;0,25;56,04;Colombia;Latin America;"Policia Nacional de Colombia";"2016-2022";"Arts and Humanities (miscellaneous) (Q3); Law (Q3); Sociology and Political Science (Q3); Social Psychology (Q4); Social Sciences (miscellaneous) (Q4)";"Arts and Humanities; Psychology; Social Sciences"
565;21101021459;"Canadian Journal of European and Russian Studies";journal;"25628429";0,148;Q3;2;1;12;80;3;11;0,00;80,00;Canada;Northern America;"Carleton University - Centre for European Studies";"2019-2020";"Law (Q3); Political Science and International Relations (Q3); Sociology and Political Science (Q3)";"Social Sciences"
566;15183;"Duke Environmental Law and Policy Forum";journal;"23289686, 10643958";0,148;Q3;20;7;22;0;8;19;0,40;0,00;United States;Northern America;"Duke University School of Law";"1996-2000, 2002-2022";"Law (Q3); Geography, Planning and Development (Q4); Management, Monitoring, Policy and Law (Q4)";"Environmental Science; Social Sciences"
567;13220;"European Journal of Health Law";journal;"09290273, 15718093";0,148;Q3;23;46;100;1455;46;92;0,50;31,63;Netherlands;Western Europe;"Martinus Nijhoff Publishers";"1994-2022";"Law (Q3); Health Policy (Q4)";"Medicine; Social Sciences"
568;21101052717;"Journal of Data Protection and Privacy";journal;"23981687, 23981679";0,148;Q3;6;21;91;885;26;80;0,22;42,14;United Kingdom;Western Europe;"Henry Stewart Publications";"2017-2022";"Law (Q3); Management Information Systems (Q4); Marketing (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Social Sciences"
569;21100937581;"Genocide Studies International";journal;"22911855, 22911847";0,147;Q3;2;0;18;0;8;15;0,00;0,00;Canada;Northern America;"University of Toronto Press";"2018-2019, 2021";"Law (Q3); Political Science and International Relations (Q3); Sociology and Political Science (Q3)";"Social Sciences"
570;21100899527;"Australian Feminist Law Journal";journal;"22040064, 13200968";0,146;Q3;4;14;52;0;27;46;0,29;0,00;Australia;Pacific Region;"Taylor and Francis Ltd.";"2018-2021";"Literature and Literary Theory (Q1); Gender Studies (Q3); Law (Q3); Sociology and Political Science (Q3); Psychology (miscellaneous) (Q4)";"Arts and Humanities; Psychology; Social Sciences"
571;21979;"Deutsche Lebensmittel-Rundschau";journal;"00120413";0,145;Q3;25;414;907;467;26;175;0,03;1,13;Germany;Western Europe;"Wissenschaftliche Verlagsgesellschaft Stuttgart";"1948-1949, 1961, 1973-1989, 1996-2022";"Law (Q3); Food Science (Q4); Industrial and Manufacturing Engineering (Q4)";"Agricultural and Biological Sciences; Engineering; Social Sciences"
572;21100885611;"European Journal of Comparative Law and Governance";journal;"22134506, 22134514";0,145;Q3;7;20;45;524;23;41;0,44;26,20;Netherlands;Western Europe;"Brill Academic Publishers";"2014-2022";"Law (Q3); Sociology and Political Science (Q3); Public Administration (Q4)";"Social Sciences"
573;5700160560;"Islamic Law and Society";journal;"15685195, 09289380";0,145;Q3;29;10;45;580;23;45;0,33;58,00;Netherlands;Western Europe;"Brill Academic Publishers";"1994-2022";"Law (Q3); Sociology and Political Science (Q4)";"Social Sciences"
574;21101043235;"Criminologie";journal;"03160041, 14921367";0,144;Q3;3;26;83;1304;21;82;0,31;50,15;Canada;Northern America;"Presses de l'Universite de Montreal";"2019-2022";"Law (Q3)";"Social Sciences"
575;21100850516;"European Journal of Legal Studies";journal;"19732937";0,143;Q3;6;23;53;11;24;46;0,34;0,48;Italy;Western Europe;"European University Institute, Law Department";"2017-2022";"Law (Q3)";"Social Sciences"
576;21100789025;"Journal of Media Law";journal;"17577640, 17577632";0,143;Q3;8;24;29;0;12;26;0,35;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2009, 2013, 2015-2022";"Law (Q3); Communication (Q4)";"Social Sciences"
577;21101016919;"Onati Socio-Legal Series";journal;"20795971";0,143;Q3;3;87;141;4421;54;139;0,38;50,82;Spain;Western Europe;"Onati International Institute for the Sociology of Law";"2020-2022";"Law (Q3); Social Sciences (miscellaneous) (Q4)";"Social Sciences"
578;21100395705;"Quaderni Costituzionali";journal;"03926664, 19738188";0,143;Q3;7;19;294;363;31;107;0,10;19,11;Italy;Western Europe;"Il Mulino publishing house";"2015-2022";"Law (Q3)";"Social Sciences"
579;5800170538;"Journal of the History of International Law";journal;"1388199X, 15718050";0,142;Q3;12;23;65;1208;23;63;0,26;52,52;Netherlands;Western Europe;"Martinus Nijhoff Publishers";"2007-2022";"History (Q2); Law (Q3); Political Science and International Relations (Q3)";"Arts and Humanities; Social Sciences"
580;21100824449;"Norteamerica";journal;"18703550, 24487228";0,142;Q3;5;26;63;1263;20;62;0,33;48,58;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"2016-2023";"Cultural Studies (Q2); Law (Q3); Political Science and International Relations (Q3); Demography (Q4); Economics, Econometrics and Finance (miscellaneous) (Q4); Sociology and Political Science (Q4)";"Economics, Econometrics and Finance; Social Sciences"
581;22771;"Wisconsin Law Review";journal;"0043650X";0,142;Q3;30;0;37;0;15;37;0,00;0,00;United States;Northern America;"University of Wisconsin Law School";"1976, 1978-1982, 1984-1985, 1987, 1990, 1992-1993, 1995-2019";"Law (Q3)";"Social Sciences"
582;21100858711;"Brazilian Journal of International Law";journal;"2236997X, 22371036";0,141;Q3;4;41;181;2107;14;176;0,05;51,39;Brazil;Latin America;"Centro Universitario de Brasilia";"2016-2022";"Law (Q3); Political Science and International Relations (Q3)";"Social Sciences"
583;21101055871;"Bulletin for International Taxation";journal;"18195490, 23529202";0,141;Q3;3;48;153;234;23;143;0,15;4,88;Netherlands;Western Europe;"International Bureau of Fiscal Documentation (IBFD)";"2020-2022";"Law (Q3); Accounting (Q4); Economics and Econometrics (Q4); Finance (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
584;21100903446;"E-Journal of International and Comparative Labour Studies";journal;"22804056";0,141;Q3;4;0;50;0;13;49;0,22;0,00;Italy;Western Europe;"";"2018-2021";"Law (Q3); Industrial Relations (Q4); Organizational Behavior and Human Resource Management (Q4)";"Business, Management and Accounting; Social Sciences"
585;14306;"Harvard Journal of Legislation";journal;"0017808X";0,141;Q3;19;10;35;0;18;27;0,50;0,00;United States;Northern America;"Harvard University";"1975, 1978-1979, 1983, 1987-1992, 1996-2022";"Law (Q3)";"Social Sciences"
586;21101053425;"Indian Law Review";journal;"24730599, 24730580";0,141;Q3;6;26;47;0;25;45;0,53;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2017-2022";"Law (Q3)";"Social Sciences"
587;21101057019;"University of Western Australia Law Review";journal;"00420328";0,141;Q3;1;25;11;2265;4;11;0,36;90,60;Australia;Pacific Region;"University of Western Australia, Law School";"2021-2022";"Law (Q3)";"Social Sciences"
588;16100154738;"Zeitschrift der Savigny-Stiftung fur Rechtsgeschichte, Romanistische Abteilung";journal;"03234096, 23044934";0,141;Q3;8;24;55;874;12;55;0,20;36,42;Germany;Western Europe;"Walter de Gruyter GmbH";"1880-1922, 1924-1944, 1947-1948, 1950-2022";"History (Q2); Law (Q3)";"Arts and Humanities; Social Sciences"
589;11200153522;"Law, Culture and the Humanities";journal;"17439752, 17438721";0,140;Q3;17;51;167;138;48;141;0,27;2,71;United Kingdom;Western Europe;"SAGE Publications Ltd";"2005-2022";"Cultural Studies (Q2); Arts and Humanities (miscellaneous) (Q3); Law (Q3)";"Arts and Humanities; Social Sciences"
590;21100829149;"Lawyer Quarterly";journal;"18058396, 1805840X";0,140;Q3;5;25;116;463;29;107;0,24;18,52;Czech Republic;Eastern Europe;"Institute of State and Law of the Academy of Sciences of the Czech Republic";"2017-2022";"Law (Q3)";"Social Sciences"
591;16183;"Melbourne University Law Review";journal;"00258938";0,140;Q3;17;0;33;0;22;33;0,00;0,00;Australia;Pacific Region;"Melbourne University Law Review";"1983, 1989, 1991-1993, 1996, 1999, 2001, 2006, 2008-2019";"Law (Q3)";"Social Sciences"
592;21100329301;"Queen Mary Journal of Intellectual Property";journal;"20459815, 20459807";0,140;Q3;8;23;83;196;23;75;0,35;8,52;United Kingdom;Western Europe;"Edward Elgar Publishing Ltd.";"2011-2022";"Law (Q3)";"Social Sciences"
593;21100936587;"Revista de Derecho Administrativo Economico";journal;"07174888, 07195591";0,140;Q3;3;15;63;844;18;62;0,35;56,27;Chile;Latin America;"Pontifica Universidad Catolica de Chile, Programa de Derecho Administrativo Economico";"2019-2022";"Law (Q3); Public Administration (Q4)";"Social Sciences"
594;25251;"Business Lawyer";journal;"00076899";0,139;Q3;22;0;46;0;3;43;0,00;0,00;United States;Northern America;"American Bar Association";"1979, 1995-2012, 2014-2019";"Law (Q3); Organizational Behavior and Human Resource Management (Q4)";"Business, Management and Accounting; Social Sciences"
595;17300154836;"Grotiana";journal;"01673831, 18760759";0,139;Q3;10;16;45;791;8;45;0,19;49,44;Netherlands;Western Europe;"Brill Academic Publishers";"1980-1982, 1984-1987, 1989-1991, 1993, 1997-1999, 2001, 2003, 2007-2010, 2012-2022";"History (Q2); Law (Q3)";"Arts and Humanities; Social Sciences"
596;21101062584;"Journal of Forensic Medicine Science and Law";journal;"22771867, 22778853";0,139;Q3;1;21;33;323;4;28;0,12;15,38;India;Asiatic Region;"Medicolegal Association of Maharashtra";"2021";"Law (Q3); Medicine (miscellaneous) (Q4); Pathology and Forensic Medicine (Q4)";"Medicine; Social Sciences"
597;21101047447;"Manchester Journal of Transnational Islamic Law and Practice";journal;"26336626";0,139;Q3;1;19;27;344;5;25;0,19;18,11;United Kingdom;Western Europe;"Electronicpublications.org Ltd";"2020-2021";"Religious Studies (Q2); Law (Q3)";"Arts and Humanities; Social Sciences"
598;21101052245;"Revista Electronica de Estudios Internacionales";journal;"16975197";0,139;Q3;1;31;37;1464;5;37;0,14;47,23;Spain;Western Europe;"Asociacion Espanola de Profesores de Derecho internacional y Relaciones internacionales";"2021-2022";"Law (Q3)";"Social Sciences"
599;21100992225;"Cuadernos Electronicos de Filosofia del Derecho";journal;"11389877";0,138;Q3;2;17;69;550;12;68;0,13;32,35;Spain;Western Europe;"University of Valencia, Human Rights Institute";"2019-2022";"Law (Q3); Philosophy (Q3)";"Arts and Humanities; Social Sciences"
600;18133;"Law Teacher";journal;"03069400, 19430353";0,138;Q3;13;35;121;72;69;108;0,54;2,06;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1967-2022";"Law (Q3); Education (Q4)";"Social Sciences"
601;21100944258;"Revista de Direito Civil Contemporaneo";journal;"23581433";0,138;Q3;2;49;182;1281;8;169;0,03;26,14;Brazil;Latin America;"Thomson Reuters Brasil Conteudo e Tecnologia";"2018-2019";"Law (Q3); Sociology and Political Science (Q4)";"Social Sciences"
602;25902;"South African Journal on Human Rights";journal;"02587203, 19962126";0,138;Q3;14;13;71;0;21;67;0,12;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1986, 1992-1993, 2008-2022";"Law (Q3); Sociology and Political Science (Q4)";"Social Sciences"
603;5800169269;"Chinese Journal of International Law";journal;"15401650, 17469937";0,137;Q3;21;7;94;795;32;77;0,33;113,57;United Kingdom;Western Europe;"Oxford University Press";"2008-2022";"Law (Q3); Political Science and International Relations (Q4)";"Social Sciences"
604;28933;"Judicature";journal;"00225800";0,137;Q3;21;26;67;386;11;58;0,18;14,85;United States;Northern America;"American Judicature Society";"1990, 1996-2022";"Law (Q3)";"Social Sciences"
605;21100235820;"McGill Journal of Law and Health";journal;"19204833, 19204825";0,137;Q3;5;0;19;0;5;18;0,25;0,00;Canada;Northern America;"Faculty of Law, McGill University";"2013-2021";"Law (Q3); Health Policy (Q4)";"Medicine; Social Sciences"
606;21100837220;"Revista Latinoamericana de Derecho Social";journal;"24487899, 18704670";0,137;Q3;5;23;54;753;14;53;0,19;32,74;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"2016-2021";"Law (Q3)";"Social Sciences"
607;20383;"Temple Law Review";journal;"08998086";0,137;Q3;17;0;70;0;19;62;0,32;0,00;United States;Northern America;"Temple University";"1992-1994, 1996-2021";"Law (Q3)";"Social Sciences"
608;15718;"Israel Law Review";journal;"20479336, 00212237";0,136;Q3;21;17;51;594;19;42;0,19;34,94;United Kingdom;Western Europe;"Cambridge University Press";"1974-1975, 1977-1981, 1983, 1992-2002, 2004-2022";"Law (Q3)";"Social Sciences"
609;19900193554;"Revista de Derecho Comunitario Europeo";journal;"19895569, 11384026";0,136;Q3;7;30;77;673;15;65;0,27;22,43;Spain;Western Europe;"Centro de Estudios Politicos y Constitucionales";"2008-2022";"Law (Q3); Political Science and International Relations (Q4); Sociology and Political Science (Q4)";"Social Sciences"
610;21101053558;"Revista de Educacion y Derecho";journal;"23864885, 2013584X";0,136;Q3;2;23;65;689;19;64;0,29;29,96;Spain;Western Europe;"University of Barcelona";"2021-2022";"Law (Q3); Education (Q4); Social Sciences (miscellaneous) (Q4)";"Social Sciences"
611;21100926573;"Derecho PUCP";journal;"23052546, 02513420";0,135;Q3;2;19;102;1240;24;102;0,18;65,26;Peru;Latin America;"Pontificia Universidad Catolica del Peru";"2019-2022";"Law (Q3)";"Social Sciences"
612;21100215947;"Homeland Security Affairs";journal;"1558643X";0,135;Q3;6;3;27;66;11;27;0,19;22,00;United States;Northern America;"Naval Postgraduate School Center for Homeland Defense and Security";"2012-2018";"Law (Q3); Public Administration (Q4); Safety Research (Q4)";"Social Sciences"
613;21100242828;"Revista de Direito, Estado e Telecomunicacoes";journal;"19849729, 19848161";0,135;Q3;5;15;62;639;33;62;0,74;42,60;Brazil;Latin America;"Universidade de Brasilia";"2009, 2013-2022";"Law (Q3); Computer Networks and Communications (Q4); Electrical and Electronic Engineering (Q4)";"Computer Science; Engineering; Social Sciences"
614;5700153969;"University of Toronto Law Journal";journal;"00420220";0,135;Q3;19;4;97;418;29;93;0,30;104,50;Canada;Northern America;"University of Toronto Press";"1974-1975, 1977, 1981, 1989, 1991-1993, 2008-2022";"Law (Q3); Sociology and Political Science (Q4)";"Social Sciences"
615;21100287304;"Manchester Journal of International Economic Law";journal;"17423945";0,134;Q3;5;14;71;1408;12;65;0,16;100,57;United Kingdom;Western Europe;"Electronicpublications.org Ltd";"2013-2022";"Law (Q3); Economics and Econometrics (Q4)";"Economics, Econometrics and Finance; Social Sciences"
616;21100793841;"First Amendment Studies";journal;"21689725, 21689733";0,133;Q3;6;0;33;0;11;31;0,36;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2013-2021";"Law (Q3); Communication (Q4); Sociology and Political Science (Q4)";"Social Sciences"
