Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
518;55037;"Asian Affairs";journal;"00927678, 19401590";0,153;Q3;12;3;28;0;14;27;0,45;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1973-2005, 2010-2021";"Law (Q3); Political Science and International Relations (Q3); Sociology and Political Science (Q3); Economics and Econometrics (Q4); Economics, Econometrics and Finance (miscellaneous) (Q4); Geography, Planning and Development (Q4)"
519;25251;"Business Lawyer";journal;"00076899";0,153;Q3;21;0;103;0;10;86;0,13;0,00;United States;Northern America;"American Bar Association";"1979, 1995-2012, 2014-2019";"Law (Q3); Organizational Behavior and Human Resource Management (Q4)"
520;21100970318;"Carbon and Climate Law Review";journal;"21908230, 18649904";0,153;Q3;3;0;45;0;11;32;0,24;0,00;Germany;Western Europe;"Lexxion Verlagsgesellschaft mbH";"2019-2020";"Law (Q3); Global and Planetary Change (Q4); Pollution (Q4)"
521;21101043235;"Criminologie";journal;"14921367";0,153;Q3;2;25;54;1203;16;54;0,30;48,12;Canada;Northern America;"The University of Montreal Press";"2020-2021";"Law (Q3)"
522;5700153831;"Journal of Legal History";journal;"17440564, 01440365";0,153;Q3;15;14;39;0;7;36;0,15;0,00;United Kingdom;Western Europe;"Routledge";"1980-2021";"History (Q2); Law (Q3)"
523;21100275419;"Rivista di Studi sulla Sostenibilita";journal;"22397221, 22391959";0,153;Q3;12;36;116;1107;81;110;0,66;30,75;Italy;Western Europe;"FrancoAngeli Edizioni";"2011-2021";"Law (Q3); Development (Q4); Economics and Econometrics (Q4); Management, Monitoring, Policy and Law (Q4); Renewable Energy, Sustainability and the Environment (Q4); Strategy and Management (Q4)"
524;21100898979;"Environmental Law Review";journal;"17405564, 14614529";0,151;Q3;3;23;66;0;22;57;0,38;0,00;United Kingdom;Western Europe;"SAGE Publications Ltd";"2018-2021";"Law (Q3); Geography, Planning and Development (Q4); Management, Monitoring, Policy and Law (Q4)"
525;21100922953;"London Review of International Law";journal;"20506333, 20506325";0,151;Q3;12;8;49;680;13;49;0,25;85,00;United Kingdom;Western Europe;"Oxford University Press";"2013-2020";"Law (Q3)"
526;21100244605;"Cuestiones Constitucionales";journal;"14059193";0,150;Q3;3;15;108;504;21;108;0,15;33,60;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"2013-2020";"Law (Q3); Sociology and Political Science (Q3)"
527;18133;"Law Teacher";journal;"03069400, 19430353";0,150;Q3;12;50;118;0;46;107;0,43;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1967-2021";"Law (Q3); Education (Q4)"
528;5000157006;"Informatologia";journal;"13300067";0,149;Q3;8;23;34;582;18;33;0,53;25,30;Croatia;Eastern Europe;"";"1999-2021";"Law (Q3)"
529;18200156703;"Journal of International Trade Law and Policy";journal;"14770024";0,149;Q3;10;9;31;512;13;31;0,45;56,89;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2002-2021";"Law (Q3); Political Science and International Relations (Q3); Economics, Econometrics and Finance (miscellaneous) (Q4); Industrial Relations (Q4)"
530;5700153945;"Alternative Law Journal";journal;"1037969X";0,148;Q3;11;73;180;0;84;142;0,54;0,00;United States;Northern America;"SAGE Publications Inc.";"2009-2021";"Law (Q3); Sociology and Political Science (Q3)"
531;8500153124;"Environmental and Planning Law Journal";journal;"0813300X";0,148;Q3;19;0;123;0;37;118;0,36;0,00;Australia;Pacific Region;"Lawbook Co.";"1984-2020";"Law (Q3); Geography, Planning and Development (Q4); Management, Monitoring, Policy and Law (Q4)"
532;19700177700;"European Energy and Environmental Law Review";journal;"18793886, 25890387";0,147;Q3;14;21;56;529;20;51;0,36;25,19;Netherlands;Western Europe;"Kluwer Law International";"2008-2021";"Law (Q3); Geography, Planning and Development (Q4); Management, Monitoring, Policy and Law (Q4); Renewable Energy, Sustainability and the Environment (Q4)"
533;25902;"South African Journal on Human Rights";journal;"02587203, 19962126";0,147;Q3;13;17;67;0;35;63;0,49;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1986, 1992-1993, 2008-2021";"Law (Q3); Sociology and Political Science (Q4)"
534;21100948930;"University of Bologna Law Review";journal;"25316133";0,146;Q3;4;3;27;250;9;26;0,17;83,33;Italy;Western Europe;"University of Bologna";"2016-2021";"Law (Q3)"
535;21100975882;"Doxa. Cuadernos de Filosofia del Derecho";journal;"02148676, 23864702";0,145;Q3;2;24;52;1202;11;50;0,21;50,08;Spain;Western Europe;"Universidad de Alicante";"2019-2021";"Philosophy (Q2); Law (Q3)"
536;21100276218;"Ecclesiastical Law Journal";journal;"0956618X, 17518539";0,145;Q3;15;34;135;306;13;88;0,13;9,00;United Kingdom;Western Europe;"Cambridge University Press";"1987-2021";"Religious Studies (Q2); Law (Q3)"
537;7200153129;"International Community Law Review";journal;"18719732, 18719740";0,145;Q3;14;33;80;581;23;69;0,28;17,61;Netherlands;Western Europe;"Martinus Nijhoff Publishers";"2007-2021";"Law (Q3); Political Science and International Relations (Q3)"
538;21100811504;"Rivista di Filosofia del Diritto";journal;"2280482X";0,145;Q3;4;13;82;358;18;79;0,30;27,54;Italy;Western Europe;"Societa Editrice Il Mulino";"2016-2021";"Philosophy (Q2); Law (Q3)"
539;21100898972;"Somatechnics";journal;"20440146, 20440138";0,145;Q3;3;24;60;1029;24;45;0,47;42,88;United Kingdom;Western Europe;"Edinburgh University Press";"2018-2021";"Arts and Humanities (miscellaneous) (Q3); Law (Q3); Anatomy (Q4); Human-Computer Interaction (Q4); Human Factors and Ergonomics (Q4); Sociology and Political Science (Q4)"
540;90482;"Zbornik Pravnog Fakulteta u Zagrebu";journal;"03502058";0,145;Q3;4;27;87;1165;16;85;0,14;43,15;Croatia;Eastern Europe;"University of Zagreb";"1984, 2007-2021";"Law (Q3)"
541;13201;"Communication Law and Policy";journal;"15326926, 10811680";0,144;Q3;11;11;80;0;19;74;0,24;0,00;United States;Northern America;"Routledge";"2005-2021";"Communication (Q3); Law (Q3)"
542;21100926573;"Derecho PUCP";journal;"23052546, 02513420";0,144;Q3;2;38;64;2795;10;64;0,16;73,55;Peru;Latin America;"Pontificia Universidad Catolica del Peru";"2019-2021";"Law (Q3)"
543;21101045709;"Forensic Science International: Mind and Law";journal;"26663538";0,144;Q3;5;27;35;1337;46;25;1,31;49,52;Netherlands;Western Europe;"Elsevier BV";"2020-2021";"Law (Q3); Psychiatry and Mental Health (Q4); Psychology (miscellaneous) (Q4)"
544;21100259507;"International Journal of Public Law and Policy";journal;"20447671, 20447663";0,144;Q3;4;20;15;963;3;14;0,20;48,15;Switzerland;Western Europe;"Inderscience Publishers";"2011-2017, 2019-2021";"Law (Q3); Sociology and Political Science (Q4)"
545;15455;"Louisiana Law Review";journal;"00246859";0,144;Q3;15;16;96;2819;14;82;0,12;176,19;United States;Northern America;"Louisiana State University";"1974-1976, 1979-1980, 1983-1985, 1991-1993, 1997-2021";"Law (Q3)"
546;21100239827;"Monatsschrift fur Kriminologie und Strafrechtsreform";journal;"00269301";0,144;Q3;9;29;69;1929;14;66;0,18;66,52;Germany;Western Europe;"Carl Heymanns Verlag KG";"2010-2021";"Law (Q3)"
547;14300;"Harvard Journal of Law and Public Policy";journal;"01934872";0,143;Q3;28;7;77;2061;19;74;0,30;294,43;United States;Northern America;"Harvard University";"1980, 1985, 1990, 1995-2021";"Law (Q3); Sociology and Political Science (Q4)"
548;19900191551;"International Review of the Red Cross";journal;"16075889, 18163831";0,143;Q3;39;36;131;1305;38;128;0,25;36,25;United Kingdom;Western Europe;"Cambridge University Press";"2005-2021";"Law (Q3); Sociology and Political Science (Q4)"
549;11200153522;"Law, Culture and the Humanities";journal;"17439752, 17438721";0,143;Q3;16;66;168;30;60;139;0,25;0,45;United Kingdom;Western Europe;"SAGE Publications Ltd";"2005-2021";"Cultural Studies (Q2); Arts and Humanities (miscellaneous) (Q3); Law (Q3)"
550;21100841277;"Archivio Penale";journal;"00040304, 23849479";0,141;Q3;3;79;470;3246;7;464;0,01;41,09;Italy;Western Europe;"Pisa University Press";"2017-2021";"Law (Q3)"
551;13818;"Cornell Journal of Law and Public Policy";journal;"10690565";0,141;Q3;11;0;36;0;15;35;0,33;0,00;United States;Northern America;"Joe Christensen, Inc.";"1993, 1997-2002, 2004-2007, 2009, 2011-2020";"Law (Q3); Sociology and Political Science (Q4)"
552;21100784268;"International Human Rights Law Review";journal;"22131027, 22131035";0,141;Q3;6;12;33;521;13;33;0,57;43,42;Netherlands;Western Europe;"Brill Academic Publishers";"2012-2021";"Law (Q3); Sociology and Political Science (Q4)"
553;21101020095;"Krytyka Prawa";journal;"24507938, 20801084";0,141;Q3;1;76;57;1543;15;49;0,26;20,30;Poland;Eastern Europe;"Kozminski University";"2020-2021";"Law (Q3)"
554;4400151416;"Muslim World Journal of Human Rights";journal;"15544419";0,141;Q3;12;9;13;566;3;13;0,25;62,89;Germany;Western Europe;"Walter de Gruyter GmbH";"2006-2007, 2009-2021";"Law (Q3); Political Science and International Relations (Q3); Sociology and Political Science (Q4)"
555;7200153103;"Nordic Journal of International Law";journal;"09027351, 15718107";0,141;Q3;15;11;59;794;12;59;0,20;72,18;Netherlands;Western Europe;"Martinus Nijhoff Publishers";"1934, 1937-1939, 1941-1942, 1947, 1949, 1951-1953, 1955-1957, 1960, 1962-1964, 1968-1971, 1973-1974, 1976-1980, 1984-1991, 1995, 2006-2021";"Law (Q3); Political Science and International Relations (Q3)"
556;21100820624;"Oxford Journal of Law and Religion";journal;"20470770, 20470789";0,141;Q3;12;19;77;191;42;75;0,33;10,05;United Kingdom;Western Europe;"Oxford University Press";"2012-2021";"Religious Studies (Q2); Law (Q3)"
557;21100927210;"Balkan Social Science Review";journal;"18578772, 18578799";0,140;Q3;4;32;73;1111;10;73;0,18;34,72;Macedonia;Eastern Europe;"Goce Delchev University of Shtip";"2013-2021";"Law (Q3); Political Science and International Relations (Q3); Public Administration (Q4); Social Sciences (miscellaneous) (Q4); Sociology and Political Science (Q4)"
558;29266;"Buffalo Law Review";journal;"00239356";0,140;Q3;19;10;69;50;26;66;0,38;5,00;United States;Northern America;"State University of New York at Buffalo Law School";"1973-1976, 1978-1979, 1982, 1990-1994, 1996, 1999-2000, 2002-2021";"Law (Q3)"
559;19400156803;"Journal of Human Security";journal;"18353800";0,140;Q3;8;10;26;498;11;23;0,42;49,80;Switzerland;Western Europe;"Librello publishing house";"2009-2011, 2013-2017, 2019-2021";"Law (Q3); Political Science and International Relations (Q3); Safety Research (Q4); Sociology and Political Science (Q4)"
560;144734;"Liverpool Law Review";journal;"15728625, 0144932X";0,140;Q3;12;18;49;878;28;47;0,42;48,78;Netherlands;Western Europe;"Springer Netherlands";"1979-1996, 1999-2002, 2005-2021";"Law (Q3)"
561;21100920639;"Actualidad Juridica Iberoamericana";journal;"23864567";0,139;Q3;2;54;185;2460;19;185;0,10;45,56;Spain;Western Europe;"Ibero-American Law Institute";"2019-2020";"Law (Q3)"
562;12685;"American Journal of Law and Medicine";journal;"00988588, 2375835X";0,139;Q3;32;29;76;0;35;73;0,45;0,00;United States;Northern America;"SAGE Publications Inc.";"1975-2021";"Law (Q3); Health (social science) (Q4); Medicine (miscellaneous) (Q4)"
563;21100215947;"Homeland Security Affairs";journal;"1558643X";0,139;Q3;6;0;9;0;8;8;0,00;0,00;United States;Northern America;"Naval Postgraduate School Center for Homeland Defense and Security";"2012-2018";"Law (Q3); Public Administration (Q4); Safety Research (Q4)"
564;21101033127;"Utrecht Journal of International and European Law";journal;"20535341";0,139;Q3;3;15;19;629;10;16;0,53;41,93;United Kingdom;Western Europe;"Ubiquity Press";"2020-2021";"Law (Q3)"
565;21101021225;"Anti-Trafficking Review";journal;"22867511, 22870113";0,138;Q3;3;21;23;284;34;17;1,48;13,52;Thailand;Asiatic Region;"Global Alliance Against Traffic in Women";"2020-2021";"Law (Q3); Political Science and International Relations (Q3)"
566;5700160560;"Islamic Law and Society";journal;"15685195, 09289380";0,138;Q3;27;15;40;1433;24;40;0,54;95,53;Netherlands;Western Europe;"Brill Academic Publishers";"1994-2021";"Law (Q3); Sociology and Political Science (Q4)"
567;21100934785;"International and Comparative Law Review";journal;"12138770, 24646601";0,137;Q3;3;16;55;599;21;55;0,38;37,44;Poland;Eastern Europe;"Sciendo";"2019-2021";"Law (Q3)"
568;21100365076;"University of Pennsylvania Journal of International Law";journal;"19380283";0,137;Q3;10;15;55;432;17;55;0,20;28,80;United States;Northern America;"University of Pennsylvania Law School";"2014-2021";"Law (Q3); Economics, Econometrics and Finance (miscellaneous) (Q4)"
569;16227;"Journal of law and medicine";journal;"1320159X";0,136;Q3;19;54;217;0;83;216;0,36;0,00;Australia;Pacific Region;"Thomson Head Office";"1994, 2001-2021";"Law (Q3); Health Policy (Q4); Issues, Ethics and Legal Aspects (Q4); Medicine (miscellaneous) (Q4)"
570;21101053425;"Indian Law Review";journal;"24730599, 24730580";0,135;Q3;3;33;44;0;18;42;0,33;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2017-2021";"Law (Q3)"
571;21100924420;"Jerusalem Review of Legal Studies";journal;"22197117, 22197125";0,135;Q3;7;27;76;596;6;60;0,09;22,07;United States;Northern America;"Oxford University Press";"2010-2021";"Law (Q3)"
572;21101040630;"Revista de Derecho Ambiental(Chile)";journal;"07180101, 07194633";0,135;Q3;1;18;18;631;6;17;0,33;35,06;Chile;Latin America;"Universidad de Chile. Centro de Derecho Ambiental";"2020-2021";"Law (Q3); Management, Monitoring, Policy and Law (Q4); Renewable Energy, Sustainability and the Environment (Q4)"
573;19900193554;"Revista de Derecho Comunitario Europeo";journal;"19895569, 11384026";0,135;Q3;6;25;78;784;8;63;0,10;31,36;Spain;Western Europe;"Centro de Estudios Politicos y Constitucionales";"2008-2021";"Law (Q3); Political Science and International Relations (Q4); Sociology and Political Science (Q4)"
574;19900188395;"Revista de Direito Sanitario";journal;"15164179, 23169044";0,135;Q3;2;22;84;574;12;79;0,08;26,09;Brazil;Latin America;"Universidade De Sao Paulo";"2016-2021";"Law (Q3); Health (social science) (Q4); Medicine (miscellaneous) (Q4)"
575;17700156417;"Asian Journal of Comparative Law";journal;"19320205";0,134;Q3;8;32;58;1562;28;51;0,31;48,81;United Kingdom;Western Europe;"Walter de Gruyter GmbH";"2009-2021";"Law (Q3)"
576;21100792560;"Law and Financial Markets Review";journal;"17521459, 17521440";0,134;Q3;7;0;73;0;23;65;0,26;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2007, 2014-2020";"Law (Q3); Finance (Q4)"
577;21100813711;"Ragion Pratica";journal;"17202396";0,134;Q3;4;29;77;1424;9;73;0,13;49,10;Italy;Western Europe;"Societa Editrice Il Mulino";"2016-2021";"Law (Q3); Philosophy (Q3); Sociology and Political Science (Q4)"
578;7100153147;"Arab Law Quarterly";journal;"15730255, 02680556";0,133;Q3;14;12;99;303;20;96;0,09;25,25;Netherlands;Western Europe;"Brill Academic Publishers";"1980, 1985, 1987-2004, 2006-2021";"Law (Q3)"
579;21100814521;"Denver Law Review";journal;"24696471, 24696463";0,133;Q3;19;16;66;4518;15;66;0,26;282,38;United States;Northern America;"University of Denver Sturm College of Law";"2015-2021";"Law (Q3)"
580;21101019366;"Interactive Entertainment Law Review";journal;"25153870, 25153889";0,133;Q3;2;10;41;174;9;35;0,11;17,40;United Kingdom;Western Europe;"Edward Elgar Publishing Ltd.";"2018-2021";"Law (Q3)"
581;11700154386;"Journal of Intellectual Property";journal;"15599493";0,133;Q3;6;16;83;2893;10;83;0,13;180,81;United States;Northern America;"Illinois Institute of Technology";"2008-2010, 2012-2020";"Law (Q3); Philosophy (Q3)"
582;14109;"Recht und Psychiatrie";journal;"07242247";0,133;Q3;12;0;39;0;5;34;0,21;0,00;Germany;Western Europe;"Psychiatrie-Verlag GmbH";"1999-2019";"Law (Q3); Health Policy (Q4); Psychiatry and Mental Health (Q4)"
583;21100903446;"E-Journal of International and Comparative Labour Studies";journal;"22804056";0,132;Q3;2;14;52;180;11;52;0,17;12,86;Italy;Western Europe;"";"2018-2020";"Law (Q3); Industrial Relations (Q4); Organizational Behavior and Human Resource Management (Q4)"
584;145712;"Statute Law Review";journal;"01443593";0,131;Q3;11;4;59;181;18;53;0,29;45,25;United Kingdom;Western Europe;"Oxford University Press";"1980-2021";"Law (Q3)"
585;21100235613;"ACDI Anuario Colombiano de Derecho Internacional";journal;"20271131, 21454493";0,130;Q3;4;13;28;290;6;24;0,17;22,31;Colombia;Latin America;"Universidad del Rosario";"2012-2021";"Law (Q3)"
586;5800171965;"Asia Pacific Law Review";journal;"10192557";0,130;Q4;8;20;43;0;15;43;0,30;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2008-2021";"Law (Q4)"
587;5800172268;"Boletin Mexicano de Derecho Comparado";journal;"00418633";0,130;Q4;6;35;161;1533;13;151;0,05;43,80;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"1991, 2009-2021";"Law (Q4)"
588;21100992225;"Cuadernos Electronicos de Filosofia del Derecho";journal;"11389877";0,130;Q3;2;21;47;971;6;47;0,13;46,24;Spain;Western Europe;"University of Valencia, Human Rights Institute";"2019-2021";"Law (Q3); Philosophy (Q3)"
589;21100406834;"Developments in International Law";book series;"09245332";0,130;Q4;6;1;17;151;1;1;0,06;151,00;Netherlands;Western Europe;"Brill Academic Publishers";"2006-2010, 2020-2021";"Law (Q4); Political Science and International Relations (Q4)"
590;21100407265;"Etudes de Droit International";book series;"1573563X";0,130;Q4;2;0;1;0;0;1;0,00;0,00;Netherlands;Western Europe;"Brill Academic Publishers";"2007, 2010-2011, 2013-2014, 2016, 2018";"Law (Q4); Political Science and International Relations (Q4)"
591;21101049074;"Gosudarstvo i Pravo";journal;"10269452";0,130;Q4;2;199;1;3950;0;1;0,00;19,85;Russian Federation;Eastern Europe;"Russian Academy of Sciences";"2021";"Law (Q4)"
592;14306;"Harvard Journal of Legislation";journal;"0017808X";0,130;Q3;18;11;38;12;5;30;0,08;1,09;United States;Northern America;"Harvard University";"1975, 1978-1979, 1983, 1987-1992, 1996-2021";"Law (Q3)"
593;21100453544;"Heritage and Identity";book series;"22117377, 22117369";0,130;Q4;3;0;1;0;1;1;1,00;0,00;Netherlands;Western Europe;"Brill Academic Publishers";"2012-2013, 2015, 2017, 2019";"Conservation (Q3); Cultural Studies (Q3); Museology (Q3); Law (Q4)"
